name,price,change
TRENT,4765.0,1.87
M&M,3475.7,1.42
ADANIPOWER,146.52,1.29
UNITDSPR,1341.0,1.26
DIXON,16522.0,1.23
BAJAJ-AUTO,8783.0,1.2
DLF,720.95,1.12
TATACONSUM,1140.1,0.96
VBL,446.95,0.73
TATAPOWER,391.35,0.69
TVSMOTOR,3456.7,0.52
APOLLOHOSP,7440.5,0.43
NAUKRI,1314.3,0.38
TITAN,3378.7,0.35
HAVELLS,1505.9,0.26
HINDUNILVR,2519.5,0.2
EICHERMOT,7018.0,0.18
MARUTI,16044.0,0.09
COLPAL,2223.7,0.06
MAXHEALTH,1114.7,0.0
NESTLEIND,1152.5,-0.03
ITC,401.2,-0.09
HEROMOTOCO,5454.5,-0.33
ETERNAL,324.0,-0.46
GODREJCP,1161.3,-0.48
INDIGO,5565.5,-0.52
INDHOTEL,716.25,-0.56
BHARTIARTL,1866.4,-0.64
ASIANPAINT,2334.8,-0.65
DMART,4446.2,-0.65
BRITANNIA,5950.0,-0.68
