name,price,change
ADANIPOWER,500.75,0.59
AEGISLOG,754.0,0.53
HINDPETRO,311.1,0.4
JSWENERGY,468.8,0.33
CASTROLIND,217.96,0.29
ADANIGREEN,841.0,0.04
GSPL,279.25,-0.11
RELIANCE,1202.1,-0.16
THERMAX,3194.85,-0.18
ADANIENSOL,668.45,-0.19
POWERGRID,255.1,-0.25
JPPOWER,13.92,-0.36
ATGL,575.5,-0.61
SJVN,88.89,-0.71
PETRONET,289.4,-0.72
IOC,117.79,-0.72
COALINDIA,358.5,-0.73
IGL,196.61,-0.79
NHPC,75.4,-0.8
CESC,132.09,-0.87
NTPC,315.75,-0.93
OIL,368.75,-0.98
TORNTPOWER,1309.3,-1.0
BPCL,245.8,-1.07
TATAPOWER,347.6,-1.11
ONGC,230.15,-1.22
MGL,1302.6,-1.26
GAIL,158.63,-1.31
NLCINDIA,208.78,-1.42
GUJGASLTD,388.5,-1.5
TRITURBINE,541.0,-1.65
CGPOWER,587.15,-1.9
BHEL,190.81,-1.95
SCHNEIDER,640.2,-2.41
POWERINDIA,11500.1,-2.52
ABB,5166.0,-2.56
GVT&D,1396.9,-2.6
SIEMENS,4703.75,-2.77
SUZLON,52.95,-2.99
INOXWIND,156.45,-7.27
