name,price,change
LUPIN,1971.9,3.17
GRANULES,533.0,3.09
LAURUSLABS,861.0,2.28
SUNPHARMA,1629.3,2.2
ABBOTINDIA,29795.0,1.72
NATCOPHARM,809.0,1.69
BIOCON,345.75,1.39
PPLPHARMA,193.8,1.38
AUROPHARMA,1098.2,1.32
ZYDUSLIFE,993.45,1.18
DRREDDY,1232.4,0.71
ALKEM,5463.5,0.71
GLAND,2005.7,0.71
DIVISLAB,5722.0,0.57
GLENMARK,1963.8,0.57
AJANTPHARM,2418.0,0.49
TORNTPHARM,3618.2,0.42
JBCHEPHARM,1714.4,0.27
MANKIND,2439.7,0.16
CIPLA,1502.1,-0.08
IPCALAB,1329.9,-0.68
WOCKPHARMA,1480.7,-2.33
